Time,Country Name,Country Code,womenlaborforce
2012,Switzerland,CHE,76.72
2012,Syrian Arab Republic,SYR,14.28
2012,Tajikistan,TJK,31.89
2012,Tanzania,TZA,83.63
2012,Thailand,THA,71.72
2012,Timor-Leste,TLS,61.65
2012,Togo,TGO,55.6
2012,Tonga,TON,42.86
2012,Trinidad and Tobago,TTO,58.33
2012,Tunisia,TUN,27.92
2012,Turkey,TUR,31.68
2012,Turkmenistan,TKM,48.2
2012,Turks and Caicos Islands,TCA,
2012,Tuvalu,TUV,
2012,Uganda,UGA,67.64
2012,Ukraine,UKR,60.2
2012,United Arab Emirates,ARE,47.07
2012,United Kingdom,GBR,70.02
2012,United States,USA,66.52
2012,Uruguay,URY,67.95
2012,Uzbekistan,UZB,53.61
2012,Vanuatu,VUT,61.27
2012,"Venezuela, RB",VEN,53.01
2012,Vietnam,VNM,77.57
2012,Virgin Islands (U.S.),VIR,67.43
2012,West Bank and Gaza,PSE,16.4
2012,"Yemen, Rep.",YEM,8.12
2012,Zambia,ZMB,71
2012,Zimbabwe,ZWE,78.48
